date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:36:54	66438/66438	---M-Z	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202022%2014:24:54%20GMT	https://rainbowit.net/html/doob/index-startup.html	D:/OurTeam/TrangChu/rainbowit.net/html/doob/index-startup.html	(from )
01:36:55	1076/1076	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2018:36:56%20GMT	https://rainbowit.net/robots.txt		(from )
01:36:55	10053/10053	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Sep%202021%2022:23:12%20GMT	https://rainbowit.net/html/doob/assets/images/favicon.png	D:/OurTeam/TrangChu/rainbowit.net/html/doob/assets/images/favicon.png	(from https://rainbowit.net/html/doob/index-startup.html)
01:36:56	209710/209710	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2020:06:52%20GMT	https://rainbowit.net/html/doob/assets/css/vendor/bootstrap.min.css	D:/OurTeam/TrangChu/rainbowit.net/html/doob/assets/css/vendor/bootstrap.min.css	(from https://rainbowit.net/html/doob/index-startup.html)
01:36:56	74357/74357	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2020:06:52%20GMT	https://rainbowit.net/html/doob/assets/css/plugins/animation.css	D:/OurTeam/TrangChu/rainbowit.net/html/doob/assets/css/plugins/animation.css	(from https://rainbowit.net/html/doob/index-startup.html)
01:36:56	14219/14219	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2020:06:54%20GMT	https://rainbowit.net/html/doob/assets/css/plugins/feature.css	D:/OurTeam/TrangChu/rainbowit.net/html/doob/assets/css/plugins/feature.css	(from https://rainbowit.net/html/doob/index-startup.html)
01:36:56	5783/5783	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2011:34:50%20GMT	https://rainbowit.net/html/doob/assets/css/plugins/magnify.min.css	D:/OurTeam/TrangChu/rainbowit.net/html/doob/assets/css/plugins/magnify.min.css	(from https://rainbowit.net/html/doob/index-startup.html)
01:36:56	1293/1293	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2011:34:52%20GMT	https://rainbowit.net/html/doob/assets/css/plugins/slick.css	D:/OurTeam/TrangChu/rainbowit.net/html/doob/assets/css/plugins/slick.css	(from https://rainbowit.net/html/doob/index-startup.html)
01:36:56	2421/2421	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2011:34:52%20GMT	https://rainbowit.net/html/doob/assets/css/plugins/slick-theme.css	D:/OurTeam/TrangChu/rainbowit.net/html/doob/assets/css/plugins/slick-theme.css	(from https://rainbowit.net/html/doob/index-startup.html)
01:36:57	27344/27344	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Feb%202022%2020:06:52%20GMT	https://rainbowit.net/html/doob/assets/css/plugins/lightbox.css	D:/OurTeam/TrangChu/rainbowit.net/html/doob/assets/css/plugins/lightbox.css	(from https://rainbowit.net/html/doob/index-startup.html)
